,,type,temperature,flag,ref_num
MnGa2Sb2,136,Curie,310.0,False,2
NdScSi,137,Curie,175.0,False,1
CeCu5,138,Néel,3.1666666666666665,False,6
BiFeO3plates,139,Néel,643.0,False,1
Sr2InOsO6,140,Néel,26.0,False,1
Sr2CrSbO6,141,Néel,12.0,False,3
Ca3Fe2Si3O12,142,Néel,11.0,False,1
Gd90B10,143,Curie,292.0,False,2
"31,182",144,Curie,855.0,False,1
Co60Fe35Ni5,145,Curie,1028.0,False,2
Nd2AlFe13Mn3,146,Curie,340.0,False,1
ZnGeAs2,147,Curie,367.0,False,1
Gd50Co48Zn2,148,Curie,260.0,False,1
Fe62Co5Cr4Mo4Ga4P11B5C5,149,Curie,444.0,False,1
Eu21Zn4Sb18,150,Néel,8.0,False,2
CoAs2O4,151,Néel,47.0,False,1
LuFeO3,152,Néel,625.0,False,1
LiMnPO4,153,Néel,43.78947368421053,False,19
BaZrO3,154,Curie,593.0,False,1
Ni62Ge38,155,Curie,630.0,False,1
Mn4Gd2S7,156,Néel,45.0,False,6
TbRhGe2,157,Néel,7.5,False,6
Mn3Pt,158,Néel,475.0,False,2
Eu7Ga8Sb8,159,Néel,6.0,False,1
BiMnO,160,Curie,100.0,False,1
EuS,161,Curie,18.75,False,28
CeNiSn,162,Curie,6.0,False,3
ErFe11Ti,163,Curie,507.0,False,1
UAsSe,164,Curie,113.0,False,1
La2Co15Mo2,165,Curie,860.0,False,2
EuNi5In,166,Néel,4.0,False,2
BTSnN,167,Curie,430.5,False,2
Nd6Nb4Al43,168,Néel,3.0,False,3
Fe70Cr8Cu1Nb5Si4B12,169,Curie,285.0,False,1
Tb15Si9C,170,Curie,135.0,False,1
O48Nd,171,Curie,3.0,False,1
ThMn12,172,Curie,458.5,False,4
Co50Fe40Ni10,173,Curie,798.0,False,2
BaTb2O4,174,Néel,27.0,False,4
AlCMn3,175,Curie,293.0,False,2
NaxFe2Se2,176,Curie,46.0,False,1
Sr2CrReO6,177,Curie,625.8888888888889,False,9
GdCu2Si2,178,Néel,12.4,False,5
CaCu5,179,Curie,39.0,False,1
Co03Cu07MnSb,180,Curie,391.0,False,2
Fe12Cr,181,Curie,977.0,False,1
CaFe2O4,182,Néel,165.0,False,4
ErMnO3,183,Néel,76.83333333333333,False,6
Yb2Pt3Sn5,184,Néel,5.0,False,1
Fe80P8C7B5,185,Curie,616.0,False,1
NdPd2In4,186,Néel,5.0,False,3
AA′Mn2O6,187,Curie,445.0,False,3
GdCo3,188,Curie,615.0,False,2
URh4In,189,Néel,27.0,False,4
CrO2,190,Curie,377.9130434782609,False,46
Er2Fe17H3,191,Curie,476.0,False,1
Gd45Hf10Co25Al20,192,Curie,100.0,False,1
FeDy6Sb2,193,Curie,143.0,False,2
EuTe,194,Néel,9.5,False,8
FexNbS2,195,Néel,39.0,False,2
Tm4Zn5Ge6,196,Néel,1.0,False,2
YbSe,197,Curie,18.0,False,1
Sm(Fe1,198,Curie,869.5,False,2
TmCoAl,199,Curie,6.0,False,1
TbMgSn,200,Néel,37.4,False,10
Nd13Fe81B6,201,Curie,589.0,False,1
Otherworks,202,Curie,1131.3333333333333,False,3
Ni32Gd46Al22,203,Curie,62.0,False,1
Cd2Re2O7,204,Curie,3.25,False,4
Fe76Al4P12B4Si4,205,Curie,623.0,False,1
NdNi,206,Curie,23.333333333333332,False,3
CaMnO3,207,Néel,122.66666666666667,False,3
YBa2Cu3O7,208,Curie,92.7,False,10
Fe15Cr,209,Curie,947.0,False,1
Boracites,210,Curie,538.0,False,1
Fe80Si6B14,211,Curie,659.3333333333334,False,6
Ni49LaMn35Sn15,212,Curie,5.0,False,1
EuMn2O5,213,Néel,40.0,False,2
Gd4Yb11Se22,214,Néel,2.0,False,2
ZnO,215,Curie,326.4782608695652,False,92
Fe78Mo1B7C3P10Si1,216,Curie,593.0,False,1
MnMn,217,Curie,16.0,False,1
Unirradiated,218,Curie,268.0,False,1
Ni49Fe18Ga27Co6,219,Curie,390.0,False,2
TbRhGe,220,Néel,23.0,False,3
ErIrSi,221,Néel,3.0,False,3
Ba2FeWO6,222,Néel,23.0,False,4
Y2C2Br2,223,Curie,5.0,False,2
Fe40Ni38B18Mo4,224,Curie,693.0,False,2
Fe5Ge3,225,Curie,430.0,False,1
CaRuO3,226,Curie,103.6,False,10
Parallel,227,Curie,945.0,False,1
Eu,228,Curie,119.84210526315789,False,19
Mn4,229,Curie,0.0,False,1
Fe70Al5P11Ga5B4C5,230,Curie,600.0,False,1
FeCoNiCrCuAl,231,Curie,298.0,False,1
RECrO3,232,Néel,218.0,False,2
Ba2CaOsO6,233,Néel,51.0,False,1
LaPt3Si,234,Curie,0.0,False,1
SmNi3FeSi,235,Curie,190.0,False,1
Bulk,236,Curie,199.5,False,12
ErNi,237,Néel,154.0,False,2
CaFeAsF,238,Néel,113.0,False,2
GdCuSn,239,Néel,23.0,False,2
La2Co15FeMo,240,Curie,911.0,False,2
U5Ge4,241,Curie,1.0,False,1
CeNiSb3,242,Curie,6.0,False,6
NiMnSb,243,Curie,634.0,False,10
NiGa2S4,244,Néel,10.0,False,1
CaCu2Mn5O12,245,Curie,3.0,False,1
Lu2PdSi3,246,Néel,13.0,False,2
EuPdGe3,247,Néel,12.0,False,9
Br,248,Curie,126.64285714285714,False,14
Li4FeSbO6,249,Néel,3.0,False,5
He,250,Néel,26.166666666666668,False,6
RE2NiMnO6,251,Curie,195.0,False,2
→GdZnH,252,Curie,268.0,False,2
Dy5Si4,253,Curie,140.0,False,1
Parent,254,Curie,3.0,False,1
Cuprates,255,Curie,113.0,False,3
NiMn2O4,256,Curie,99.0,False,2
C8H13Co2N4O7,257,Néel,6.0,False,1
ScCrO3,258,Néel,70.5,False,2
YbFeO3,259,Curie,347.5,False,2
FGd0,260,Curie,378.0,False,1
Fe75Ni15Zr10,261,Curie,404.5,False,2
