,,Type,Normalised Value,flag
NiMn2O4,148,Curie,99.0,False
xCoFe2O4,149,Curie,790.0,False
GdFeO3,150,Néel,376.57142857142856,False
Ce2FeO2Se2,151,Néel,171.0,False
Gd3Fe5O12,152,Curie,564.0,False
Sr2NaNb5O15,153,Curie,543.6666666666666,False
BaFe12O19,154,Curie,738.0,False
BiNiO3,155,Néel,300.0,False
LiBa2Nb5O15,156,Curie,473.0,False
Cu2O,157,Curie,300.0,False
Co2FeO4,158,Curie,456.5,False
NaPbPO4,159,Curie,1063.0,False
LiVSi2O6,160,Néel,22.0,False
CaBi2Nb2O9,161,Curie,1168.6666666666667,False
Ba2SmReO6,162,Néel,82.0,False
La7Os4C9,163,Curie,7.0,False
Ba2InOsO6,164,Néel,28.0,False
C44H35Br2FeMnN11O4,165,Curie,3.0,False
Eu4O3N,166,Curie,69.0,False
Ba2CoMoO6,167,Néel,27.0,False
SrCoO3,168,Curie,334.3333333333333,False
La2O3,169,Curie,613.0,False
DyMnO3,170,Néel,120.66666666666667,False
Bi5PbTi3O14Cl,171,Curie,863.5,False
NiNb2O6,172,Néel,5.0,False
Sr2CrIrO6,173,Curie,725.0,False
Oligocene,174,Curie,858.0,False
LaONiAs,175,Curie,2.5,False
BaIrO3,176,Curie,180.0,False
La2TiCoO6,177,Néel,16.0,False
Sr2CuO2Cl2,178,Curie,30.0,False
ZnMn2O4,179,Néel,76.66666666666667,False
C9H22NClO4,180,Curie,440.0,False
La2ZnTiO6,181,Curie,350.0,False
LaSrMnCoO6,182,Curie,225.0,False
Sr3Fe2O7,183,Néel,110.0,False
GdTiO3,184,Curie,30.0,False
EuMn2O5,185,Néel,40.0,False
Li2MnO3,186,Néel,38.0,False
SrLaMnRuO6,187,Curie,225.0,False
AgCa2Ni2V3O12,188,Néel,7.0,False
Yb2Ti2O7,189,Curie,863.0,False
Bi3Fe5O12,190,Curie,643.0,False
SmFeO3,191,Néel,542.0,False
Sr2LuReO6,192,Néel,12.0,False
Ba2YRuO6,193,Néel,37.0,False
PbBi2Nb2O9,194,Curie,830.0,False
CoFe2O4,195,Curie,698.304347826087,False
Oxyfluorides,196,Curie,775.0,False
GaFeO,197,Néel,210.0,False
LaONiP,198,Curie,3.0,False
Sr2InOsO6,199,Néel,26.0,False
NaFeSi2O6,200,Néel,7.0,False
LiBa2Ta5O15,201,Curie,473.0,False
RE2NiMnO6,202,Curie,195.0,False
RFe2O4,203,Néel,230.0,False
LaFe12O19,204,Néel,735.0,False
SrLaFeO4,205,Néel,330.0,False
KOs2O6,206,Curie,9.0,False
Mn2TiO4,207,Curie,78.0,False
Mn2MnReO6,208,Curie,520.0,False
Sr2Ta2O7,209,Curie,166.0,False
Ba2Co2Fe12O22,210,Curie,616.5,False
Sr2CuO3,211,Néel,5.0,False
Ni4Nb2O9,212,Curie,76.0,False
Ho1Ba2Cu3Ox,213,Curie,94.0,False
Cr2O3,214,Néel,300.56666666666666,False
Nd2MgIrO6,215,Néel,12.0,False
CuMn2O4,216,Curie,38.666666666666664,False
SrFeO2,217,Néel,473.0,False
LiTi2O4,218,Curie,12.0,False
CaMnO3,219,Néel,122.66666666666667,False
BiFeTaO3,220,Curie,799.6666666666666,False
MnFe2O4,221,Curie,579.1818181818181,False
Sm2O3,222,Curie,593.0,False
Or3,223,Curie,223.0,False
ZnO,224,Curie,326.4782608695652,False
Nd2O3,225,Curie,313.75,False
LiCrSi2O6,226,Néel,11.0,False
YCrO3,227,Néel,174.93333333333334,False
CaFeO3,228,Néel,134.0,False
BiYO3,229,Curie,923.0,False
Ba2NaNb5O15,230,Curie,853.0,False
LixMn2O4,231,Néel,41.4,False
Cd2Re2O7,232,Curie,3.25,False
TiO,233,Curie,300.0,False
Ca2CoTeO6,234,Néel,10.0,False
LaCoO3,235,Curie,162.4,False
YBaCuFeO5,236,Néel,440.0,False
Bi4O4S3,237,Curie,10.0,False
CuAlO2,238,Néel,24.0,False
TlNiO3,239,Néel,121.66666666666667,False
SmMnO3,240,Néel,65.0,False
BaMn2V2O8,241,Néel,37.0,False
HoMnO3,242,Curie,556.8461538461538,False
