,,Type,Normalised Value,flag
Nd2BaNiO5,647,Néel,48.0,False
Sr2CrWO6,648,Curie,401.8888888888889,False
SrBiNb2O9,649,Curie,723.0,False
Ba2SmMoO6,650,Néel,101.2,False
SrO,651,Curie,160.0,False
Bi3TiNbO9,652,Curie,1181.0,False
BaTi2O5,653,Curie,718.2727272727273,False
Na3Co2SbO6,654,Néel,8.0,False
SrFe12O19,655,Curie,734.7333333333333,False
RuO4,656,Curie,500.0,False
HoBa2Cu3O7,657,Néel,0.0,False
MnO,658,Néel,188.79661016949152,False
BaBi2Nb2O9,659,Curie,443.0,False
CeCu3Mn4O12,660,Curie,2.0,False
SrRuO3,661,Curie,156.20408163265307,False
YBaMn2O6,662,Curie,246.0,False
Or2,663,Curie,233.0,False
Pr2Ti2O7,664,Curie,1828.0,False
LiVO2,665,Curie,470.0,False
FeTiO3,666,Néel,245.06666666666666,False
Nb2Co4O9,667,Néel,27.0,False
Ba2SmRuO6,668,Néel,54.0,False
PbNb2O6,669,Curie,794.25,False
Na2V3O7,670,Curie,160.0,False
Li2CO3,671,Curie,591.5,False
Sr2RuHoO6,672,Néel,10.0,False
Ba3TaFe3Si2O14,673,Néel,27.0,False
Sr7Mn4O15,674,Néel,70.0,False
Ba2CoReO6,675,Néel,47.25,False
Pr2LiOsO6,676,Néel,35.0,False
CoFeRhO4,677,Néel,790.0,False
ZnFe2O4,678,Néel,70.29032258064517,False
Hg2Ba2Ca2Cu3Ox,679,Curie,133.0,False
Co3B7O13I,680,Curie,274.0,False
Sr2CoMoO6,681,Néel,132.66666666666666,False
Mn2O3,682,Néel,60.0,False
Mn2Mo3O8,683,Curie,128.1,False
Ba2ScOsO6,684,Néel,93.0,False
Sr2YbReO6,685,Néel,20.0,False
Sr2FeReO6,686,Curie,410.6666666666667,False
Orgueil,687,Curie,923.0,False
FeCO3,688,Curie,595.9090909090909,False
Ca3Co2O6,689,Curie,23.75,False
CaCu3Ti4O12,690,Curie,582.6666666666666,False
Sr2FeTeO6,691,Néel,100.0,False
YSrCrO4,692,Néel,170.0,False
NaFeGe2O6,693,Néel,7.0,False
Mn3O4,694,Curie,45.416666666666664,False
YMn2O5,695,Néel,39.666666666666664,False
TbOFeAs,696,Curie,54.0,False
BaSrTiO3,697,Curie,400.0,False
Er2Si2O7,698,Néel,1.5,False
LiNiO2,699,Néel,20.0,False
Ba2REReO6,700,Néel,100.0,False
AlFeO3,701,Néel,250.0,False
NaCrSi2O6,702,Néel,3.0,False
SrTiO,703,Curie,860.0,False
Na4CoTeO6,704,Néel,3.0,False
Cu4O3,705,Néel,42.0,False
NaLaMnWO6,706,Néel,10.0,False
FeOOH,707,Curie,409.3,False
NaxCoO2,708,Curie,41.5,False
Ca2Cr2O5,709,Néel,200.0,False
Ag2O,710,Curie,581.6666666666666,False
La2NiO4,711,Néel,328.0,False
SmCO,712,Curie,1131.3333333333333,False
Sr11Re4O24,713,Curie,12.0,False
Sr2CoReO6,714,Néel,65.0,False
LaPbMnSbO6,715,Néel,10.0,False
BiCoO3,716,Néel,436.375,False
EuSr2RuCu2O8,717,Curie,70.0,False
Mn3TeO6,718,Néel,23.0,False
Ba3Fe2WO9,719,Néel,223.0,False
NiAs2O4,720,Néel,65.33333333333333,False
LaSrCoO4,721,Néel,380.0,False
LiVCuO4,722,Curie,265.0,False
La3Co2TaO9,723,Curie,72.0,False
Bi5Ti3CrO15,724,Curie,968.0,False
Bi5Ti3FeO15,725,Néel,553.3157894736842,False
BiCoPO5,726,Néel,16.0,False
CaZrO3,727,Curie,473.0,False
MnNb2O6,728,Néel,4.0,False
CaRuO3,729,Curie,103.6,False
Ba2FeWO6,730,Néel,23.0,False
Ba2CaReO6,731,Néel,15.0,False
TbMnO3,732,Néel,80.0,False
LaAlO3,733,Curie,464.1666666666667,False
Ca2CrSbO6,734,Curie,15.2,False
NiCrO3,735,Néel,309.0,False
Bi6Ti3Fe2O18,736,Néel,160.0,False
K2LaNb5O15,737,Curie,180.0,False
KBa2Nb5O15,738,Curie,665.0,False
SnO2,739,Curie,515.0,False
K2Cr8O16,740,Curie,180.0,False
ZnMnO,741,Curie,171.5,False
MnGeO3,742,Néel,36.0,False
TmMnO3,743,Néel,83.0,False
TlBa2Ca2Cu3Oy,744,Curie,129.6,False
Er2BaNiO5,745,Néel,34.0,False
NaNbO3,746,Curie,605.0,False
LaSrMn2O5,747,Curie,365.0,False
Ag6O8AgBF4,748,Curie,0.0,False
MnGa2O4,749,Néel,14.0,False
C8H13Co2N4O7,750,Néel,6.0,False
SrZrO3,751,Curie,517.0,False
PbFeBO4,752,Néel,246.0,False
TeCuO3,753,Néel,9.0,False
BiCrO3,754,Néel,376.0,False
Sr3Fe2WO9,755,Curie,373.0,False
Ca3Mn2Ge3O12,756,Néel,13.0,False
Cr2O5,757,Néel,308.0,False
PbTiNb2O8,758,Curie,631.0,False
CeOFeAs,759,Néel,108.1,False
Tb2MnNiO6,760,Curie,111.0,False
Tl2Mn2O7,761,Curie,142.0,False
K3Li2Ta5O15,762,Curie,7.0,False
SrBi4Ti4O15,763,Curie,801.0769230769231,False
K2NdNb5O15,764,Curie,442.0,False
LuFe2O4,765,Néel,244.8,False
Er3Ga5O12,766,Néel,0.0,False
Sr3NaRuO6,767,Néel,70.0,False
Ca2CrMoO6,768,Curie,125.0,False
EuO,769,Curie,71.94444444444444,False
HoCrO3,770,Néel,131.25,False
Bi4LaSmFe2Ti3O18,771,Néel,10.0,False
Pb2Ba2BiFe4ScO13,772,Néel,350.0,False
BiVO4,773,Curie,1100.0,False
SrTcO3,774,Néel,780.75,False
Sr3FeMoO7,775,Curie,683.0,False
DyCrO3,776,Néel,137.0,False
YbFeO3,777,Curie,347.5,False
LaCrO3,778,Néel,265.3333333333333,False
FeOCl,779,Néel,86.66666666666667,False
CuFeO,780,Néel,221.25,False
A4O4Se3,781,Néel,8.0,False
Tl2Ba2CaCu2Oy,782,Curie,100.0,False
Ca2Mn3O8,783,Néel,60.0,False
Ba2CrMoO6,784,Curie,337.5,False
KNbO3,785,Curie,620.8333333333334,False
NdVO4,786,Curie,113.0,False
Ba2Bi4Ti5O18,787,Curie,597.5,False
CrMoO4,788,Néel,100.0,False
NaOsO3,789,Néel,410.0,False
Sr2TbReO6,790,Néel,2.0,False
La5Re3FeO16,791,Curie,155.0,False
CoCrFeO4,792,Curie,661.0,False
CoCO3,793,Néel,18.0,False
BaEr2O4,794,Néel,6.0,False
Pb2MReO6,795,Néel,37.0,False
BiMn2O5,796,Néel,44.888888888888886,False
ZrTiO3,797,Curie,503.0,False
MgMnFeO4,798,Curie,411.0,False
Mn7Fe14O28,799,Curie,275.0,False
YbFeMnO4,800,Néel,62.0,False
CoFeMnO4,801,Curie,473.0,False
CaCoGe2O6,802,Néel,14.25,False
Y3Fe3Al2O12,803,Curie,225.0,False
YBaCuO,804,Curie,95.0,False
LnIrPnO,805,Néel,7.0,False
BiMnO,806,Curie,100.0,False
BiAlO3,807,Curie,793.0,False
KTaO3,808,Curie,8.6,False
Ba2FeReO6,809,Curie,303.0,False
Ca2FeMoO6,810,Néel,211.16666666666666,False
Ca2CrOsO6,811,Curie,575.0,False
LiMnPO4,812,Néel,43.78947368421053,False
Ba2NdFeNb4O15,813,Curie,323.0,False
TbCu3Mn4O12,814,Curie,3.0,False
CaCO3,815,Néel,120.0,False
PbZrNb2O8,816,Curie,562.5,False
YBa2Cu3Ox,817,Curie,85.66666666666667,False
Na2Nb4O11,818,Curie,400.0,False
Sr2Mn2O5,819,Néel,317.5,False
DyVO4,820,Curie,3.0,False
Tb4O4Se3,821,Néel,7.0,False
ySmxLayFeO3,822,Curie,1098.0,False
CaTiO3,823,Curie,628.6666666666666,False
Na4NiTeO6,824,Néel,6.0,False
LaSrCoRuO6,825,Néel,86.0,False
RuSr2EuCu2O8,826,Curie,97.84615384615384,False
SiO,827,Curie,39.0,False
CaCu2O3,828,Néel,26.333333333333332,False
K2RuO4,829,Néel,9.0,False
YMnO3,830,Néel,299.64179104477614,False
Pb2NiReO6,831,Curie,68.5,False
PbBi4Ti4O15,832,Curie,878.0,False
scH2O,833,Curie,647.0,False
LaSr2Mn2O7,834,Curie,270.6666666666667,False
AgSbO3,835,Curie,603.0,False
ZnV2O4,836,Néel,40.0,False
ErMnO3,837,Néel,76.83333333333333,False
PbTiO3,838,Curie,730.2242990654206,False
NdFeO3,839,Néel,741.75,False
BaSnO3,840,Curie,304.0,False
Ba2MnReO6,841,Curie,120.0,False
Y2Ru2O7,842,Néel,77.0,False
dNiO,843,Néel,523.0,False
DyCoO3,844,Néel,3.0,False
GdBaCo2O5,845,Curie,285.0,False
ZrO2,846,Curie,633.0,False
Gd2NiMnO6,847,Curie,128.0,False
Sr3FeNb2O9,848,Curie,593.0,False
PrO2,849,Néel,14.0,False
SrMn2V2O8,850,Néel,43.0,False
LaNiO3,851,Curie,593.0,False
MeOH,852,Curie,22.0,False
CuO2,853,Curie,114.75,False
PbVO3,854,Néel,226.57142857142858,False
YbMnO3,855,Néel,149.33333333333334,False
MnWO4,856,Néel,12.8,False
Fe2Al2Si3O12,857,Néel,7.0,False
Y3Al5O12,858,Curie,225.0,False
Osmium,859,Curie,9.0,False
ErFeO3,860,Néel,611.0,False
Sm2MnTiO6,861,Néel,20.0,False
FeBO,862,Néel,348.0,False
CoGa2O4,863,Néel,10.0,False
Co2Te3O8,864,Néel,70.0,False
CaFe2O4,865,Néel,165.0,False
SeNiO3,866,Néel,104.0,False
Lu2V2O7,867,Curie,70.0,False
FeReO4,868,Néel,234.5,False
EuZrO3,869,Néel,4.5,False
LiFeGe2O6,870,Néel,20.0,False
Y2CoMnO6,871,Curie,66.75,False
Nd2NiMnO6,872,Curie,204.875,False
Ba2FeMoO6,873,Curie,353.07142857142856,False
Li1Mn8Fe12O28,874,Curie,275.0,False
GeFeO3,875,Curie,207.5,False
LuNiO3,876,Néel,130.0,False
MnTeMoO6,877,Néel,20.0,False
K3Li2Nb5O15,878,Curie,629.6,False
Co7Sb2O12,879,Curie,60.0,False
Sr2FeMoO6,880,Curie,416.9672131147541,False
NH4H2AsO4,881,Curie,161.0,False
Pb9Ce2Ti12O36and,882,Curie,550.0,False
