name,dum,type,temperature,flag,ref_num,parsed_form,chem_flags,C_flags,N_flags,O_flags,S_flags,V_flags,Cr_flags,Mn_flags,Fe_flags,Co_flags,Ni_flags,Cu_flags,As_flags,Se_flags,La_flags,Ce_flags,Pr_flags,Nd_flags,Pm_flags,Sm_flags,Eu_flags,Gd_flags,Tb_flags,Dy_flags,Ho_flags,Er_flags,Tm_flags,Yb_flags,Lu_flags,Hf_flags,Ta_flags
DyCoAl,3923,Curie,37.0,False,1,"{'Dy': 1.0, 'Co': 1.0, 'Al': 1.0}",True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
CaFFeAs,3921,Curie,36.0,False,1,"{'Ca': 1.0, 'F': 1.0, 'Fe': 1.0, 'As': 1.0}",True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HoPdAl,3920,Néel,32.5,False,6,"{'Ho': 1.0, 'Pd': 1.0, 'Al': 1.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Ni45Co5Mn38Sb11Ge1,3919,Curie,270.0,False,1,"{'Ni': 45.0, 'Co': 5.0, 'Mn': 38.0, 'Sb': 11.0, 'Ge': 1.0}",True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Dy2NiMnO6,3918,Curie,93.0,False,1,"{'Dy': 2.0, 'Ni': 1.0, 'Mn': 1.0, 'O': 6.0}",True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
SmPd2Cd20,3917,Curie,5.0,False,2,"{'Sm': 1.0, 'Pd': 2.0, 'Cd': 20.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
TbAg,3915,Curie,64.0,False,1,"{'Tb': 1.0, 'Ag': 1.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Ba6C60,3914,Curie,7.0,False,1,"{'Ba': 6.0, 'C': 60.0}",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Gd65Ni35,3912,Curie,122.0,False,1,"{'Gd': 65.0, 'Ni': 35.0}",True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
MgZn2,3910,Curie,540.0,False,1,"{'Mg': 1.0, 'Zn': 2.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GdTiSi,3908,Néel,205.0,False,6,"{'Gd': 1.0, 'Ti': 1.0, 'Si': 1.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
MnFePAs,3907,Curie,197.0,False,1,"{'Mn': 1.0, 'Fe': 1.0, 'P': 1.0, 'As': 1.0}",True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Co2TiSi,3905,Curie,190.0,False,2,"{'Co': 2.0, 'Ti': 1.0, 'Si': 1.0}",True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FeCuZr,3903,Curie,1043.0,False,1,"{'Fe': 1.0, 'Cu': 1.0, 'Zr': 1.0}",True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Tb4PdGa12,3902,Néel,16.0,False,2,"{'Tb': 4.0, 'Pd': 1.0, 'Ga': 12.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
NiCu,3901,Curie,338.0,False,1,"{'Ni': 1.0, 'Cu': 1.0}",True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TeCuO3,3900,Néel,9.0,False,1,"{'Te': 1.0, 'Cu': 1.0, 'O': 3.0}",True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
NdCuIn,3899,Néel,4.0,False,2,"{'Nd': 1.0, 'Cu': 1.0, 'In': 1.0}",True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Gd50Co48Si2,3898,Curie,244.0,False,1,"{'Gd': 50.0, 'Co': 48.0, 'Si': 2.0}",True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Gd55Al20Co25,3897,Curie,110.0,False,1,"{'Gd': 55.0, 'Al': 20.0, 'Co': 25.0}",True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Tb2O3,3896,Néel,4.25,False,4,"{'Tb': 2.0, 'O': 3.0}",True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
MnCr2O4,3895,Curie,40.8,False,5,"{'Mn': 1.0, 'Cr': 2.0, 'O': 4.0}",True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
EuO,3894,Curie,71.94444444444444,False,36,"{'Eu': 1.0, 'O': 1.0}",True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
DyBiGe,3893,Néel,16.0,False,3,"{'Dy': 1.0, 'Bi': 1.0, 'Ge': 1.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
MnFe4Si3,3892,Curie,300.0,False,2,"{'Mn': 1.0, 'Fe': 4.0, 'Si': 3.0}",True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ce3Rh2Ga2,3891,Curie,2.5,False,4,"{'Ce': 3.0, 'Rh': 2.0, 'Ga': 2.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
